field_dates,end_date,sample_size,population,pollster,pct_a,pct_b,margin_a,label_a,label_b,topline_source,metadata_source,notes
Mar 12 – 16,2026-03-16,1205,ADULTS,SSRS / CNN,37.0,61.0,-24.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 13 – 15,2026-03-15,1472,LV,Quantus Insights,43.0,56.0,-13.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 10 – 13,2026-03-13,1000,ADULTS,University of Massachusetts / YouGov,34.0,61.0,-27.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 10 – 12,2026-03-12,1873,LV,Rasmussen Reports,45.0,54.0,-9.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 7 – 11,2026-03-11,1500,ADULTS,Ipsos / Reuters,39.0,56.0,-17.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 6 – 9,2026-03-09,2198,RV,Morning Consult,44.0,53.0,-9.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 5 – 9,2026-03-09,1500,RV,Marquette University Law School,40.0,58.0,-18.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 7 – 8,2026-03-08,2009,RV,Harris Poll / Harvard CAPS,44.0,52.0,-8.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 3 – 5,2026-03-05,1873,LV,Rasmussen Reports,47.0,52.0,-5.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 1 – 4,2026-03-04,1500,ADULTS,Ipsos / Reuters,40.0,55.0,-15.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 27 – Mar 2,2026-03-02,2205,RV,Morning Consult,44.0,53.0,-9.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 26 – Mar 2,2026-03-02,1203,ADULTS,SSRS / CNN,38.0,60.0,-22.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 24 – 26,2026-02-26,1873,LV,Rasmussen Reports,48.0,51.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 21 – 25,2026-02-25,1500,ADULTS,Ipsos / Reuters,41.0,54.0,-13.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 20 – 23,2026-02-23,2203,RV,Morning Consult,45.0,52.0,-7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 21 – 22,2026-02-22,2009,RV,Harris Poll / Harvard CAPS,45.0,51.0,-6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 18 – 20,2026-02-20,1000,ADULTS,University of Massachusetts / YouGov,36.0,59.0,-23.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 17 – 19,2026-02-19,1873,LV,Rasmussen Reports,48.0,51.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 14 – 18,2026-02-18,1500,ADULTS,Ipsos / Reuters,42.0,53.0,-11.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 13 – 16,2026-02-16,2201,RV,Morning Consult,45.0,52.0,-7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 12 – 16,2026-02-16,1201,ADULTS,SSRS / CNN,40.0,58.0,-18.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 10 – 12,2026-02-12,1873,LV,Rasmussen Reports,49.0,50.0,-1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 7 – 11,2026-02-11,1500,ADULTS,Ipsos / Reuters,43.0,52.0,-9.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 6 – 9,2026-02-09,2198,RV,Morning Consult,46.0,51.0,-5.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 7 – 8,2026-02-08,2009,RV,Harris Poll / Harvard CAPS,46.0,50.0,-4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 3 – 5,2026-02-05,1873,LV,Rasmussen Reports,50.0,49.0,1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Feb 1 – 4,2026-02-04,1500,ADULTS,Ipsos / Reuters,43.0,51.0,-8.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 30 – Feb 2,2026-02-02,2205,RV,Morning Consult,46.0,51.0,-5.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 29 – Feb 2,2026-02-02,1205,ADULTS,SSRS / CNN,41.0,57.0,-16.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 27 – 29,2026-01-29,1873,LV,Rasmussen Reports,50.0,49.0,1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 24 – 28,2026-01-28,1500,ADULTS,Ipsos / Reuters,44.0,50.0,-6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 23 – 26,2026-01-26,2203,RV,Morning Consult,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 24 – 25,2026-01-25,2009,RV,Harris Poll / Harvard CAPS,47.0,49.0,-2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 20 – 22,2026-01-22,1873,LV,Rasmussen Reports,51.0,48.0,3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 17 – 21,2026-01-21,1500,ADULTS,Ipsos / Reuters,45.0,49.0,-4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 16 – 19,2026-01-19,2201,RV,Morning Consult,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 15 – 19,2026-01-19,1203,ADULTS,SSRS / CNN,43.0,55.0,-12.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 14 – 16,2026-01-16,1000,ADULTS,University of Massachusetts / YouGov,38.0,57.0,-19.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 13 – 15,2026-01-15,1873,LV,Rasmussen Reports,50.0,49.0,1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 10 – 14,2026-01-14,1500,ADULTS,Ipsos / Reuters,44.0,50.0,-6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 9 – 12,2026-01-12,2198,RV,Morning Consult,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 10 – 11,2026-01-11,2009,RV,Harris Poll / Harvard CAPS,47.0,49.0,-2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 6 – 8,2026-01-08,1873,LV,Rasmussen Reports,49.0,50.0,-1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 3 – 7,2026-01-07,1500,ADULTS,Ipsos / Reuters,44.0,50.0,-6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 2 – 5,2026-01-05,2205,RV,Morning Consult,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jan 1 – 5,2026-01-05,1201,ADULTS,SSRS / CNN,44.0,54.0,-10.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Dec 27 – 30,2025-12-30,1679,ADULTS,YouGov / The Economist,39.0,55.0,-16.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Dec 19 – 23,2025-12-23,2203,RV,Morning Consult,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Dec 20 – 21,2025-12-21,2009,RV,Harris Poll / Harvard CAPS,47.0,49.0,-2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Dec 15 – 18,2025-12-18,1500,ADULTS,Ipsos / Reuters,44.0,51.0,-7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Dec 12 – 15,2025-12-15,2201,RV,Morning Consult,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Dec 11 – 15,2025-12-15,1205,ADULTS,SSRS / CNN,43.0,55.0,-12.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Dec 8 – 11,2025-12-11,1500,ADULTS,Ipsos / Reuters,44.0,51.0,-7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Dec 5 – 8,2025-12-08,2198,RV,Morning Consult,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Dec 6 – 7,2025-12-07,2009,RV,Harris Poll / Harvard CAPS,47.0,49.0,-2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Dec 1 – 4,2025-12-04,1500,ADULTS,Ipsos / Reuters,44.0,51.0,-7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Nov 28 – Dec 1,2025-12-01,2205,RV,Morning Consult,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Nov 26 – Dec 1,2025-12-01,1203,ADULTS,SSRS / CNN,43.0,55.0,-12.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Nov 21 – 25,2025-11-25,1500,ADULTS,Ipsos / Reuters,44.0,51.0,-7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Nov 21 – 24,2025-11-24,2203,RV,Morning Consult,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Nov 22 – 23,2025-11-23,2009,RV,Harris Poll / Harvard CAPS,47.0,49.0,-2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Nov 14 – 18,2025-11-18,1500,ADULTS,Ipsos / Reuters,44.0,50.0,-6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Nov 14 – 17,2025-11-17,2201,RV,Morning Consult,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Nov 12 – 17,2025-11-17,1201,ADULTS,SSRS / CNN,44.0,54.0,-10.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Nov 7 – 11,2025-11-11,1500,ADULTS,Ipsos / Reuters,45.0,50.0,-5.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Nov 7 – 10,2025-11-10,2198,RV,Morning Consult,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Nov 8 – 9,2025-11-09,2009,RV,Harris Poll / Harvard CAPS,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 31 – Nov 4,2025-11-04,1500,ADULTS,Ipsos / Reuters,45.0,49.0,-4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 31 – Nov 3,2025-11-03,2205,RV,Morning Consult,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 29 – Nov 3,2025-11-03,1205,ADULTS,SSRS / CNN,44.0,54.0,-10.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 24 – 28,2025-10-28,1500,ADULTS,Ipsos / Reuters,45.0,49.0,-4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 24 – 27,2025-10-27,2203,RV,Morning Consult,48.0,49.0,-1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 25 – 26,2025-10-26,2009,RV,Harris Poll / Harvard CAPS,48.0,48.0,0.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 17 – 21,2025-10-21,1500,ADULTS,Ipsos / Reuters,45.0,49.0,-4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 17 – 20,2025-10-20,2201,RV,Morning Consult,48.0,49.0,-1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 15 – 20,2025-10-20,1203,ADULTS,SSRS / CNN,44.0,53.0,-9.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 10 – 14,2025-10-14,1500,ADULTS,Ipsos / Reuters,46.0,49.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 10 – 13,2025-10-13,2198,RV,Morning Consult,48.0,49.0,-1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 11 – 12,2025-10-12,2009,RV,Harris Poll / Harvard CAPS,48.0,48.0,0.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 3 – 7,2025-10-07,1500,ADULTS,Ipsos / Reuters,46.0,48.0,-2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 3 – 6,2025-10-06,2205,RV,Morning Consult,48.0,49.0,-1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Oct 1 – 6,2025-10-06,1201,ADULTS,SSRS / CNN,45.0,53.0,-8.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Sep 26 – 30,2025-09-30,1500,ADULTS,Ipsos / Reuters,46.0,48.0,-2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Sep 26 – 29,2025-09-29,2203,RV,Morning Consult,49.0,48.0,1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Sep 27 – 28,2025-09-28,2009,RV,Harris Poll / Harvard CAPS,48.0,48.0,0.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Sep 19 – 23,2025-09-23,1500,ADULTS,Ipsos / Reuters,46.0,48.0,-2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Sep 19 – 22,2025-09-22,2201,RV,Morning Consult,48.0,49.0,-1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Sep 17 – 22,2025-09-22,1205,ADULTS,SSRS / CNN,45.0,53.0,-8.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Sep 13 – 14,2025-09-14,2009,RV,Harris Poll / Harvard CAPS,48.0,48.0,0.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Sep 12 – 16,2025-09-16,1500,ADULTS,Ipsos / Reuters,46.0,48.0,-2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Sep 12 – 15,2025-09-15,2198,RV,Morning Consult,48.0,49.0,-1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Sep 5 – 9,2025-09-09,1500,ADULTS,Ipsos / Reuters,46.0,48.0,-2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Sep 5 – 8,2025-09-08,2205,RV,Morning Consult,48.0,49.0,-1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Sep 3 – 8,2025-09-08,1203,ADULTS,SSRS / CNN,45.0,52.0,-7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 29 – Sep 2,2025-09-02,1500,ADULTS,Ipsos / Reuters,46.0,48.0,-2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 29 – Sep 1,2025-09-01,2203,RV,Morning Consult,49.0,48.0,1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 30 – 31,2025-08-31,2009,RV,Harris Poll / Harvard CAPS,49.0,47.0,2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 22 – 26,2025-08-26,1500,ADULTS,Ipsos / Reuters,47.0,47.0,0.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 22 – 25,2025-08-25,2201,RV,Morning Consult,49.0,48.0,1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 20 – 25,2025-08-25,1201,ADULTS,SSRS / CNN,45.0,52.0,-7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 16 – 17,2025-08-17,2009,RV,Harris Poll / Harvard CAPS,49.0,47.0,2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 15 – 19,2025-08-19,1500,ADULTS,Ipsos / Reuters,47.0,47.0,0.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 15 – 18,2025-08-18,2198,RV,Morning Consult,49.0,48.0,1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 8 – 12,2025-08-12,1500,ADULTS,Ipsos / Reuters,47.0,47.0,0.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 8 – 11,2025-08-11,2205,RV,Morning Consult,49.0,48.0,1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 6 – 11,2025-08-11,1205,ADULTS,SSRS / CNN,46.0,52.0,-6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 2 – 3,2025-08-03,2009,RV,Harris Poll / Harvard CAPS,49.0,47.0,2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 1 – 5,2025-08-05,1500,ADULTS,Ipsos / Reuters,47.0,47.0,0.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Aug 1 – 4,2025-08-04,2203,RV,Morning Consult,49.0,48.0,1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jul 25 – 29,2025-07-29,1500,ADULTS,Ipsos / Reuters,47.0,47.0,0.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jul 25 – 28,2025-07-28,2201,RV,Morning Consult,49.0,48.0,1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jul 23 – 28,2025-07-28,1203,ADULTS,SSRS / CNN,46.0,52.0,-6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jul 19 – 20,2025-07-20,2009,RV,Harris Poll / Harvard CAPS,49.0,47.0,2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jul 18 – 22,2025-07-22,1500,ADULTS,Ipsos / Reuters,47.0,47.0,0.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jul 18 – 21,2025-07-21,2198,RV,Morning Consult,50.0,47.0,3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jul 11 – 15,2025-07-15,1500,ADULTS,Ipsos / Reuters,47.0,47.0,0.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jul 11 – 14,2025-07-14,2205,RV,Morning Consult,50.0,47.0,3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jul 9 – 14,2025-07-14,1201,ADULTS,SSRS / CNN,46.0,51.0,-5.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jul 4 – 8,2025-07-08,1500,ADULTS,Ipsos / Reuters,47.0,47.0,0.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jul 4 – 7,2025-07-07,2203,RV,Morning Consult,50.0,47.0,3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jul 5 – 6,2025-07-06,2009,RV,Harris Poll / Harvard CAPS,49.0,47.0,2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jun 27 – Jul 1,2025-07-01,1500,ADULTS,Ipsos / Reuters,48.0,46.0,2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jun 27 – 30,2025-06-30,2201,RV,Morning Consult,50.0,47.0,3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jun 25 – 30,2025-06-30,1205,ADULTS,SSRS / CNN,47.0,51.0,-4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jun 21 – 22,2025-06-22,2009,RV,Harris Poll / Harvard CAPS,50.0,46.0,4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jun 20 – 24,2025-06-24,1500,ADULTS,Ipsos / Reuters,48.0,46.0,2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jun 20 – 23,2025-06-23,2198,RV,Morning Consult,50.0,47.0,3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jun 13 – 17,2025-06-17,1500,ADULTS,Ipsos / Reuters,48.0,46.0,2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jun 13 – 16,2025-06-16,2205,RV,Morning Consult,50.0,47.0,3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jun 11 – 16,2025-06-16,1203,ADULTS,SSRS / CNN,47.0,51.0,-4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jun 7 – 8,2025-06-08,2009,RV,Harris Poll / Harvard CAPS,50.0,46.0,4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jun 6 – 10,2025-06-10,1500,ADULTS,Ipsos / Reuters,48.0,46.0,2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Jun 6 – 9,2025-06-09,2203,RV,Morning Consult,51.0,46.0,5.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 30 – Jun 3,2025-06-03,1500,ADULTS,Ipsos / Reuters,48.0,46.0,2.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 30 – Jun 2,2025-06-02,2201,RV,Morning Consult,51.0,46.0,5.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 28 – Jun 2,2025-06-02,1201,ADULTS,SSRS / CNN,47.0,50.0,-3.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 24 – 25,2025-05-25,2009,RV,Harris Poll / Harvard CAPS,50.0,46.0,4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 23 – 27,2025-05-27,1500,ADULTS,Ipsos / Reuters,49.0,45.0,4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 23 – 26,2025-05-26,2198,RV,Morning Consult,51.0,46.0,5.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 16 – 20,2025-05-20,1500,ADULTS,Ipsos / Reuters,49.0,45.0,4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 16 – 19,2025-05-19,2205,RV,Morning Consult,51.0,46.0,5.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 14 – 19,2025-05-19,1205,ADULTS,SSRS / CNN,48.0,49.0,-1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 10 – 11,2025-05-11,2009,RV,Harris Poll / Harvard CAPS,51.0,45.0,6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 9 – 13,2025-05-13,1500,ADULTS,Ipsos / Reuters,49.0,45.0,4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 9 – 12,2025-05-12,2203,RV,Morning Consult,51.0,46.0,5.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 2 – 6,2025-05-06,1500,ADULTS,Ipsos / Reuters,49.0,45.0,4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
May 2 – 5,2025-05-05,2201,RV,Morning Consult,51.0,46.0,5.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Apr 30 – May 5,2025-05-05,1203,ADULTS,SSRS / CNN,48.0,49.0,-1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Apr 26 – 27,2025-04-27,2009,RV,Harris Poll / Harvard CAPS,51.0,45.0,6.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Apr 25 – 29,2025-04-29,1500,ADULTS,Ipsos / Reuters,49.0,45.0,4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Apr 25 – 28,2025-04-28,2198,RV,Morning Consult,51.0,46.0,5.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Apr 18 – 22,2025-04-22,1500,ADULTS,Ipsos / Reuters,49.0,45.0,4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Apr 18 – 21,2025-04-21,2205,RV,Morning Consult,51.0,46.0,5.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Apr 16 – 21,2025-04-21,1201,ADULTS,SSRS / CNN,48.0,49.0,-1.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Apr 11 – 15,2025-04-15,1500,ADULTS,Ipsos / Reuters,49.0,45.0,4.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
